num,"C(0,1)",cv,cl,f'c(Mpa),ρc(kg/m3),da(mm),"rd(0,1)",d(mm),b(mm),w(mm),tn(mm),dt(mm),Av(mm2),Al(mm2),Vf,lf,df,fv,fl,v
,1,0,32.26885858,44.63913186,2300,22,0,254,127,254,0,146,0,1734.8814,0,0,0,0,600,3.3124
1,1,1.536751753,32.26885858,43.31321705,2300,22,1,254,127,254,0,146,141.6925,1734.8814,0,0,0,349.86,600,5.2724
2,1,1.454963845,32.26885858,47.95391888,2300,22,1,254,127,254,0,146,141.6925,1734.8814,0,0,0,331.24,600,5.8212
3,1,3.073503506,32.26885858,42.42927385,2300,22,1,254,127,254,0,146,283.385,1734.8814,0,0,0,349.86,600,6.8894
4,1,2.909927689,32.26885858,46.18603247,2300,22,1,254,127,254,0,146,283.385,1734.8814,0,0,0,331.24,600,6.762
5,1,4.610255259,32.26885858,42.42927385,2300,22,1,254,127,254,0,146,425.0775,1734.8814,0,0,0,349.86,600,7.5852
6,1,4.364891534,32.26885858,43.31321705,2300,22,1,254,127,254,0,146,425.0775,1734.8814,0,0,0,331.24,600,7.3794
7,1,6.147007012,32.26885858,49.83229819,2300,22,1,254,127,254,0,146,566.77,1734.8814,0,0,0,349.86,600,9.3786
8,1,5.819855379,32.26885858,42.5950132,2300,22,1,254,127,254,0,146,566.77,1734.8814,0,0,0,331.24,600,8.82
9,1,7.683758765,32.26885858,49.83229819,2300,22,1,254,127,254,0,146,708.4625,1734.8814,0,0,0,349.86,600,9.653
10,1,7.274819223,32.26885858,44.91536411,2300,22,1,254,127,254,0,146,708.4625,1734.8814,0,0,0,331.24,600,9.5452
11,1,9.220510518,32.26885858,47.62244018,2300,22,1,254,127,254,0,146,850.155,1734.8814,0,0,0,349.86,600,9.8784
12,1,8.729783068,32.26885858,44.74962476,2300,22,1,254,127,254,0,146,850.155,1734.8814,0,0,0,331.24,600,9.7902
13,0,1.536751753,32.26885858,34.2527992,2300,22,1,254,127,254,0,146,141.6925,1734.8814,0,0,0,349.86,600,1.5386
14,0,3.073503506,32.26885858,34.2527992,2300,22,1,254,127,254,0,146,283.385,1734.8814,0,0,0,349.86,600,3.0772
15,0,4.610255259,32.26885858,43.09223125,2300,22,1,254,127,254,0,146,425.0775,1734.8814,0,0,0,349.86,600,4.6256
16,0,6.147007012,32.26885858,43.09223125,2300,22,1,254,127,254,0,146,566.77,1734.8814,0,0,0,349.86,600,6.1544
17,0,7.683758765,32.26885858,46.18603247,2300,22,1,254,127,254,0,146,708.4625,1734.8814,0,0,0,349.86,600,7.7224
18,0,9.220510518,32.26885858,46.18603247,2300,22,1,254,127,254,0,146,850.155,1734.8814,0,0,0,349.86,600,9.2414
19,0,0.343843569,32.26885858,44.63913186,2300,22,1,254,127,254,0,146,32.1536,1734.8814,0,0,0,344.96,600,1.6562
20,0,1.562925315,32.26885858,44.30765316,2300,22,1,254,127,254,0,146,128.6144,1734.8814,0,0,0,392,600,3.5868
21,0,3.073503506,32.26885858,34.2527992,2300,22,1,254,127,254,0,146,283.385,1734.8814,0,0,0,349.86,600,4.6844
22,0,5.108152,32.26885858,44.63913186,2300,22,1,254,127,254,0,146,506.4506,1734.8814,0,0,0,325.36,600,7.0854
23,0,7.186688131,32.26885858,44.63913186,2300,22,1,254,127,254,0,146,793.8234,1734.8814,0,0,0,292.04,600,7.9478
24,0,2.001651443,32.26885858,44.97061056,2300,22,1,254,127,254,0,146,141.6925,1734.8814,0,0,0,455.7,600,4.851
25,0,4.003302886,32.26885858,44.97061056,2300,22,1,254,127,254,0,146,283.385,1734.8814,0,0,0,455.7,600,6.7522
26,0,6.004954329,32.26885858,47.95391888,2300,22,1,254,127,254,0,146,425.0775,1734.8814,0,0,0,455.7,600,8.134
27,0,8.006605772,32.26885858,47.95391888,2300,22,1,254,127,254,0,146,566.77,1734.8814,0,0,0,455.7,600,9.653
28,0,10.00825722,32.26885858,37.45709332,2300,22,1,254,127,254,0,146,708.4625,1734.8814,0,0,0,455.7,600,9.0944
